rank,movie,,,,,,,,,,
1,Avatar,,,,,,,,,,
2,Star Wars Ep. VII: The Force Awakens,,,,,,,,,,
3,Pirates of the Caribbean: At World's End,,,,,,,,,,
4,Spectre,,,,,,,,,,
5,The Lone Ranger,,,,,,,,,,
6,John Carter,,,,,,,,,,
7,The Dark Knight Rises,,,,,,,,,,
8,Tangled,,,,,,,,,,
9,Spider-Man 3,,,,,,,,,,
10,Harry Potter and the Half-Blood Prince,,,,,,,,,,
11,The Hobbit: An Unexpected Journey,,,,,,,,,,
12,Pirates of the Caribbean: On Stranger Tides,,,,,,,,,,
13,The Hobbit: The Desolation of Smaug,,,,,,,,,,
14,The Hobbit: The Battle of the Five Armies,,,,,,,,,,
15,Avengers: Age of Ultron,,,,,,,,,,
16,Batman v Superman: Dawn of Justice,,,,,,,,,,
17,Captain America: Civil War,,,,,,,,,,
18,Superman Returns,,,,,,,,,,
19,Quantum of Solace,,,,,,,,,,
20,The Avengers,,,,,,,,,,
1,Avatar,,,,,,,,,,
2,Star Wars Ep. VII: The Force Awakens,,,,,,,,,,
3,Harry Potter and the Goblet of Fire,,,,,,,,,,
4,Frozen,,,,,,,,,,
5,The Avengers,,,,,,,,,,
6,Jurassic World,,,,,,,,,,
7,Harry Potter and the Deathly Hallows: Part II,,,,,,,,,,
8,Despicable Me 2,,,,,,,,,,
9,Furious 7,,,,,,,,,,
10,Pirates of the Caribbean: Dead Man's Chest,,,,,,,,,,
11,The Dark Knight,,,,,,,,,,
12,Minions,,,,,,,,,,
13,Harry Potter and the Order of the Phoenix,,,,,,,,,,
14,Toy Story 3,,,,,,,,,,
15,The Lion King,,,,,,,,,,
16,Avengers: Age of Ultron,,,,,,,,,,
17,The Twilight Saga: New Moon,,,,,,,,,,
18,Transformers,,,,,,,,,,
19,Harry Potter and the Deathly Hallows: Part I,,,,,,,,,,
20,The Twilight Saga: Eclipse,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
