id,rank,release_date,movie,category,categoryNice,genres,genre_main,image,link,start_value,production_budget,domestic_gross,worldwide_gross,profit,rating_imdb,rating_rt,rating_higher_imdb,rating_higher_rt,rating_lower_imdb,rating_lower_rt,rating_higher,rating_lower,rating_outlier_between
172,3,2011-03-11,Mars Needs Moms,biggest_money_losers,Biggest money losers,"Animation,Action,Adventure",Animation,marsneedsmoms.jpg,http://www.imdb.com/title/tt1305591/?ref_=nv_sr_1,0,164802186,23503822,43452577,-121349609,5.4,5,0,0,1,1,0,1,0
399,4,1995-12-22,Cutthroat Island,biggest_money_losers,Biggest money losers,"Action, Adventure, Comedy",Action,cutthroatisland.jpg,http://www.rottentomatoes.com/m/cutthroat_island/,0,147151453,16022429,29617944,-117533509,5.5,4.5,0,0,1,1,0,1,0
1253,5,1980-11-19,Heaven's Gate,biggest_money_losers,Biggest money losers,"Adventure, Drama, Romance",Adventure,heavensgate.jpg,http://www.rottentomatoes.com/m/heavens_gate/,0,126348959,10005491,10006042,-116342917,6.8,6.2,0,0,0,0,0,0,0
2587,6,1964-01-01,The Fall of the Roman Empire,biggest_money_losers,Biggest money losers,"Drama, History, War",Drama,thefalloftheromanempire.jpg,http://www.rottentomatoes.com/m/fall_of_the_roman_empire/,0,150966375,37741594,37741594,-113224782,6.7,7.4,0,0,0,0,0,0,0
2300,7,1970-01-01,Darling Lili,biggest_money_losers,Biggest money losers,"Comedy, Drama, Musical",Comedy,darlinglili.jpg,http://www.rottentomatoes.com/m/darling_lili/,0,142894656,32476058,32476058,-110418598,6.2,7.2,0,0,0,0,0,0,0
1646,8,1980-01-01,Lion of the Desert,biggest_money_losers,Biggest money losers,"Biography, Drama, History",Biography,lionofthedesert.jpg,http://www.rottentomatoes.com/m/lion_of_the_desert/,0,110451992,4733657,4733657,-105718335,8.4,7.3,0,0,0,0,0,0,0
1172,9,1982-09-17,Inchon,biggest_money_losers,Biggest money losers,"Drama, History, War",Drama,inchon.jpg,http://www.imdb.com/title/tt0084132/?ref_=fn_al_tt_1,0,115361328,11056220,11056220,-104305108,2.8,3,0,0,1,1,0,1,0
562,10,2000-06-16,Fantasia 2000,biggest_money_losers,Biggest money losers,"Animation, Family, Fantasy",Animation,fantasia2000.jpg,http://www.rottentomatoes.com/m/fantasia_2000/,0,113929930,12964699,12964699,-100965231,7.2,7.1,0,0,0,0,0,0,0
1432,11,1980-08-01,Raise the Titanic,biggest_money_losers,Biggest money losers,"Action, Drama, Thriller",Action,raisethetitanic.jpg,http://www.rottentomatoes.com/m/raise_the_titanic/,0,117896279,20631849,20631849,-97264430,4.8,5.2,0,0,1,0,0,1,0
623,12,2001-02-23,Monkeybone,biggest_money_losers,Biggest money losers,"Animation, Comedy, Fantasy",Animation,monkeybone.jpg,http://www.rottentomatoes.com/m/monkeybone/,0,104743601,7554831,7554831,-97188770,4.7,3.9,0,0,1,1,0,1,0
255,13,1999-08-27,The 13th Warrior,biggest_money_losers,Biggest money losers,"Action, Adventure, History",Action,the13thwarrior.jpg,http://www.rottentomatoes.com/m/13th_warrior/,0,183661730,48044291,90653812,-93007918,6.6,4.6,0,0,0,1,0,1,1
563,14,2005-09-02,A Sound of Thunder,biggest_money_losers,Biggest money losers,"Action, Adventure, Horror",Action,asoundofthunder.jpg,http://www.rottentomatoes.com/m/sound_of_thunder/,0,98800402,2347067,7781089,-91019314,4.2,2.8,0,0,1,1,0,1,1
621,15,1998-10-23,Soldier,biggest_money_losers,Biggest money losers,"Action, Drama, Sci-Fi",Action,soldier.jpg,http://www.rottentomatoes.com/m/1083934-soldier/,0,112280030,21891735,21891735,-90388296,6,3.5,0,0,0,1,0,1,1
558,16,1997-12-25,The Postman,biggest_money_losers,Biggest money losers,"Action, Adventure, Drama",Action,thepostman.jpg,http://www.rottentomatoes.com/m/postman/,0,121770118,26866604,31722825,-90047293,6,3.8,0,0,0,1,0,1,1
398,17,2004-04-09,The Alamo (2004),biggest_money_losers,Biggest money losers,"Drama, History, War",Drama,thealamo.jpg,http://www.rottentomatoes.com/m/general-santa-ana/,0,120147596,29261636,31227094,-88920502,6,5,0,0,0,1,0,1,0
759,18,1991-05-24,Hudson Hawk,biggest_money_losers,Biggest money losers,"Action, Adventure, Comedy",Action,hudsonhawk.jpg,http://www.rottentomatoes.com/m/hudson_hawk/,0,117689786,31176778,31176778,-86513009,5.8,3.7,0,0,0,1,0,1,1
2499,19,1969-01-01,Sweet Charity,biggest_money_losers,Biggest money losers,"Comedy, Drama, Music",Comedy,sweetcharity.jpg,http://www.rottentomatoes.com/m/sweet_charity/,0,137932022,55172809,55172809,-82759213,7,6.4,0,0,0,0,0,0,0
979,20,1998-07-22,Lolita 2000,biggest_money_losers,Biggest money losers,Sci-Fi,Sci-Fi,lolita2000.jpg,http://www.imdb.com/title/tt0130089/?ref_=nv_sr_1,0,82742310,1726733,1726733,-81015577,4.2,5.2,0,0,1,0,0,1,0
5460,1,2004-10-08,Primer,low_budget_winners,Low budget winners,"Drama, Sci-Fi, Thriller",Drama,primer.jpg,http://www.rottentomatoes.com/m/primer/,0,9003,546289,1082812,1073809,6.9,6.6,1,0,0,0,1,0,0
5459,2,1993-02-26,El Mariachi,low_budget_winners,Low budget winners,"Action,Crime,Drama",Action,elmariachi.jpg,http://www.imdb.com/title/tt0104815/?ref_=nv_sr_1,0,12010,3501640,3503369,3491359,6.9,7,1,0,0,0,1,0,0
5432,3,1997-08-01,In the Company of Men,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,inthecompanyofmen.jpg,http://www.imdb.com/title/tt0119361/?ref_=nv_sr_1,0,38171,4402945,4402945,4364774,7.3,7.9,1,1,0,0,1,0,0
5438,4,1991-08-01,Slacker,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,slacker.jpg,http://www.imdb.com/title/tt0102943/?ref_=nv_sr_2,0,41339,2206270,2206270,2164931,7.1,7.3,1,1,0,0,1,0,0
5428,5,1994-10-19,Clerks,low_budget_winners,Low budget winners,Comedy,Comedy,clerks.jpg,http://www.imdb.com/title/tt0109445/?ref_=nv_sr_1,0,44341,5047391,6395384,6351043,7.8,7.4,1,1,0,0,1,0,0
5405,6,2001-03-16,Gabriela,low_budget_winners,Low budget winners,"Drama,Romance",Drama,gabriela.jpg,http://www.imdb.com/title/tt0189541/?ref_=fn_al_tt_3,0,69671,3254105,3254105,3184434,6.9,6.4,1,0,0,0,1,0,0
5404,7,1995-08-09,The Brothers McMullen,low_budget_winners,Low budget winners,"Comedy,Drama,Romance",Comedy,thebrothersmcmullen.jpg,http://www.imdb.com/title/tt0112585/?ref_=nv_sr_1,0,80287,16742350,16742350,16662063,6.6,7,1,0,0,0,1,0,0
5398,8,2004-05-07,Super Size Me,low_budget_winners,Low budget winners,"Documentary,Comedy,Drama",Documentary,supersizeme.jpg,http://www.imdb.com/title/tt0390521/?ref_=nv_sr_1,0,84393,14969217,28867384,28782991,7.2,7.7,1,1,0,0,1,0,0
5395,9,1998-07-10,Pi,low_budget_winners,Low budget winners,"Drama,Mystery,Thriller",Drama,pi.jpg,http://www.imdb.com/title/tt0138704/?ref_=fn_al_tt_1,0,102300,4845919,7038381,6936082,7.5,7.3,1,1,0,0,1,0,0
5370,10,2015-07-10,The Gallows,low_budget_winners,Low budget winners,"Horror,Thriller",Horror,thegallows.jpg,http://www.imdb.com/title/tt2309260/?ref_=nv_sr_1,0,102877,23419239,42954952,42852075,4.2,3.2,0,0,1,0,0,1,0
5371,11,2006-09-29,Facing the Giants,low_budget_winners,Low budget winners,"Drama,Sport",Drama,facingthegiants.jpg,http://www.imdb.com/title/tt0805526/?ref_=fn_al_tt_1,0,121005,12316282,12394727,12273722,6.7,4.1,1,0,0,0,1,0,1
5362,12,2012-06-15,Your Sister's Sister,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,yoursisterssister.jpg,http://www.imdb.com/title/tt1742336/?ref_=nv_sr_1,0,128388,1709154,3306632,3178244,6.7,7,1,0,0,0,1,0,0
5431,13,1972-06-30,Deep Throat,low_budget_winners,Low budget winners,Porn,Porn,deepthroat.jpg,https://en.wikipedia.org/wiki/Deep_Throat_(film),0,147194,264948561,264948561,264801368,5.2,0,0,0,0,1,0,1,1
5375,14,1998-10-09,The Mighty,low_budget_winners,Low budget winners,"Comedy,Drama",Comedy,themighty.jpg,http://www.imdb.com/title/tt0119670/?ref_=nv_sr_4,0,149707,3970590,9164419,9014712,7.3,6.8,1,0,0,0,1,0,0
5345,15,2007-05-16,Once,low_budget_winners,Low budget winners,"Drama, Music, Romance",Drama,once.jpg,http://www.rottentomatoes.com/m/once/,0,177100,11152433,27561610,27384510,7.9,8.3,1,1,0,0,1,0,0
5336,16,2011-07-22,Another Earth,low_budget_winners,Low budget winners,"Drama, Romance, Sci-Fi",Drama,anotherearth.jpg,http://www.rottentomatoes.com/m/another_earth/,0,190180,1435797,2285179,2094999,7,6.2,1,0,0,0,1,0,0
5346,17,2002-07-19,Tadpole,low_budget_winners,Low budget winners,"Comedy, Drama, Romance",Comedy,tadpole.jpg,http://www.imdb.com/title/tt0271219/?ref_=fn_al_tt_1,0,204486,3941511,4457960,4253474,6.2,6.7,0,0,0,0,0,0,0
5332,18,2011-09-23,Weekend,low_budget_winners,Low budget winners,"Drama, Romance",Drama,weekend.jpg,http://www.rottentomatoes.com/m/weekend_2011/,0,205601,524382,1707122,1501520,7.7,8,1,1,0,0,1,0,0
5373,19,1987-03-01,Hollywood Shuffle,low_budget_winners,Low budget winners,Comedy,Comedy,hollywoodshuffle.jpg,http://www.imdb.com/title/tt0093200/?ref_=nv_sr_1,0,219018,11451604,11451604,11232586,7,6.6,1,0,0,0,1,0,0
5307,20,2011-02-25,The Grace Card,low_budget_winners,Low budget winners,Drama,Drama,thegracecard.jpg,http://www.imdb.com/title/tt1544600/?ref_=nv_sr_1,0,221879,2696644,2696644,2474765,6.5,5.5,0,0,0,0,0,0,0
4307,1,1939-12-15,Gone with the Wind,most_profitable,Most Profitable,"Drama, History, Romance",Drama,gonewiththewind.jpg,http://www.rottentomatoes.com/m/gone_with_the_wind/,0,68394579,3484273594,6848668187,6780273608,8.2,8.6,0,0,0,0,0,0,0
5038,2,1942-08-13,Bambi,most_profitable,Most Profitable,"Animation, Drama, Family",Animation,bambi.jpg,http://www.rottentomatoes.com/m/bambi/,0,12766988,1529613130,3987823758,3975056770,7.3,8.3,0,0,0,0,0,0,0
3283,3,1977-05-25,Star Wars Ep. IV: A New Hope,most_profitable,Most Profitable,"Action, Adventure, Fantasy",Action,starwarsepivanewhope.jpg,http://www.imdb.com/title/tt0076759/?ref_=nv_sr_3,0,44787877,1877011106,3202732273,3157944396,8.7,8.6,0,0,0,0,0,0,0
4822,4,1937-12-21,Snow White and the Seven Dwarfs,most_profitable,Most Profitable,"Animation, Family, Fantasy",Animation,snowwhiteandthesevendwarfs.jpg,http://www.rottentomatoes.com/m/the_house_of_magical_sounds_1937/,0,25370297,3152966677,3152966677,3127596381,7.6,8.8,0,0,0,0,0,0,0
37,5,1997-12-19,Titanic,most_profitable,Most Profitable,"Drama, Romance",Drama,titanic.jpg,http://www.rottentomatoes.com/m/titanic/,0,304425294,1002582548,3360270249,3055844955,7.8,8,0,0,0,0,0,0,0
4495,6,1950-02-15,Cinderella (1950),most_profitable,Most Profitable,"Animation, Family, Fantasy",Animation,cinderella.jpg,http://www.rottentomatoes.com/m/1004186-cinderella/,0,30298089,888047447,2753902154,2723604065,7.3,7.7,0,0,0,0,0,0,0
1,7,2009-12-18,Avatar,most_profitable,Most Profitable,"Action,Adventure,Fantasy",Action,avatar.jpg,http://www.imdb.com/title/tt0499549/?ref_=nv_sr_1,0,483195454,864644298,3165122342,2681926888,7.9,7.5,0,0,0,0,0,0,0
3643,8,1965-03-02,The Sound of Music,most_profitable,Most Profitable,"Biography, Drama, Family",Biography,thesoundofmusic.jpg,http://www.rottentomatoes.com/m/sound_of_music/,0,64321272,1280262246,2245081319,2180760047,8,8,0,0,0,0,0,0,0
3163,9,1975-06-20,Jaws,most_profitable,Most Profitable,"Adventure, Drama, Thriller",Adventure,jaws.jpg,http://www.rottentomatoes.com/m/jaws/,0,54966940,1190950373,2156078233,2101111293,8,9.2,0,0,0,0,0,0,0
3164,10,1973-12-26,The Exorcist,most_profitable,Most Profitable,Horror,Horror,theexorcist.jpg,http://www.rottentomatoes.com/m/exorcist/,0,63771169,1075327230,2126845420,2063074252,8,8,0,0,0,0,0,0,0
3339,11,1982-06-11,ET: The Extra-Terrestrial,most_profitable,Most Profitable,"Family, Sci-Fi",Family,ettheextraterrestrial.jpg,http://www.imdb.com/title/tt0083866/?ref_=nv_sr_4,0,26576799,1101318640,2007093339,1980516540,7.9,9.2,0,0,0,0,0,0,0
2,12,2015-12-18,Star Wars Ep. VII: The Force Awakens,most_profitable,Most Profitable,"Action,Adventure,Fantasy",Action,starwarsepviitheforceawakens.jpg,http://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,0,317635827,972279348,2136944047,1819308220,8.2,8.2,0,0,0,0,0,0,0
768,13,1993-06-11,Jurassic Park,most_profitable,Most Profitable,"Adventure, Sci-Fi, Thriller",Adventure,jurassicpark.jpg,http://www.rottentomatoes.com/m/jurassic_park/,0,107117015,672810993,1766261959,1659144943,8.1,8.3,0,0,0,0,0,0,0
3759,14,1972-03-15,The Godfather,most_profitable,Most Profitable,"Crime, Drama",Crime,thegodfather.jpg,http://www.rottentomatoes.com/m/godfather/,0,41512874,800406238,1592315254,1550802379,9.2,9.2,1,0,0,0,1,0,0
2226,15,1980-05-21,Star Wars Ep. V: The Empire Strikes Back,most_profitable,Most Profitable,"Action, Adventure, Fantasy",Action,starwarsepvtheempirestrikesback.jpg,http://www.imdb.com/title/tt0080684/?ref_=fn_al_tt_1,0,69033460,871238158,1603292976,1534259516,8.8,8.9,0,0,0,0,0,0,0
565,16,1994-06-15,The Lion King,most_profitable,Most Profitable,"Animation,Adventure,Drama",Animation,thelionking.jpg,http://www.imdb.com/title/tt0110357/?ref_=nv_sr_1,0,131551734,701355116,1638142814,1506591080,8.5,8.3,0,0,0,0,0,0,0
28,17,2015-06-12,Jurassic World,most_profitable,Most Profitable,"Action,Adventure,Sci-Fi",Action,jurassicworld.jpg,http://www.imdb.com/title/tt0369610/?ref_=nv_sr_1,0,221199411,671003793,1719841462,1498642051,7,6.7,0,0,0,0,0,0,0
3879,18,1978-06-16,Grease,most_profitable,Most Profitable,"Musical, Romance",Musical,grease.jpg,http://www.rottentomatoes.com/m/grease/,0,22593773,684643175,1459233026,1436639253,7.2,6.6,0,0,0,0,0,0,0
4586,19,1940-11-13,Fantasia,most_profitable,Most Profitable,"Animation, Family, Fantasy",Animation,fantasia.jpg,http://www.rottentomatoes.com/m/fantasia/,0,39984523,1461188791,1461188791,1421204269,7.8,8.6,0,0,0,0,0,0,0
389,20,2003-12-17,The Lord of the Rings: The Return of the King,most_profitable,Most Profitable,"Action, Adventure, Drama",Action,thelordoftheringsthereturnoftheking.jpg,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/,0,125224015,503355121,1520543716,1395319701,8.9,8.7,1,0,0,0,1,0,0
